"Date","Time","Open","High","Low","Close","Vol","OI","CompositeRSI","HurstExponent"
01/03/2000,16:00,6999.50,7144.50,6930.50,7094.00,15414,7459,0.00,0.00
01/04/2000,16:00,7088.00,7092.00,6774.50,6807.00,15455,7653,0.00,0.00
01/05/2000,16:00,6807.00,6867.50,6644.50,6762.00,15272,7471,0.00,0.00
01/06/2000,16:00,6742.50,6802.50,6532.00,6562.00,15550,8241,0.00,0.00
01/07/2000,16:00,6534.00,6824.00,6506.50,6807.00,14126,8355,0.00,0.00
01/10/2000,16:00,6810.50,7054.00,6804.00,7009.50,15742,8595,0.00,0.00
01/11/2000,16:00,7014.50,7015.50,6791.50,6824.50,16839,8514,0.00,0.00
01/12/2000,16:00,6826.00,6864.50,6725.50,6753.00,15547,8232,0.00,0.00
01/13/2000,16:00,6757.50,6902.00,6751.50,6902.00,13409,8262,0.00,0.00
01/14/2000,16:00,6909.50,7034.50,6894.50,7001.00,12244,9089,0.00,0.00
01/18/2000,16:00,6992.50,7069.00,6919.00,7056.50,14821,9726,0.00,0.00
01/19/2000,16:00,7050.00,7100.00,6990.50,7099.50,14308,9544,0.00,0.00
01/20/2000,16:00,7096.50,7162.50,7060.50,7126.00,16054,9136,0.00,0.00
01/21/2000,16:00,7119.50,7163.50,7073.50,7139.00,10416,8891,0.00,0.00
01/24/2000,16:00,7141.00,7187.50,6925.00,6933.00,15881,8518,0.00,0.00
01/25/2000,16:00,6924.50,7046.50,6856.00,7041.00,17930,8390,0.00,0.00
01/26/2000,16:00,7024.50,7037.00,6887.00,6904.00,14483,8988,0.00,0.00
01/27/2000,16:00,6878.00,6983.50,6775.50,6885.50,15985,8550,0.00,0.00
01/28/2000,16:00,6890.00,6934.50,6658.50,6724.50,16259,9034,0.00,0.00
01/31/2000,16:00,6711.50,6869.50,6620.50,6862.00,17839,8882,0.00,0.00
02/01/2000,16:00,6856.00,6984.50,6813.50,6973.00,13663,6788,0.00,40.93
02/02/2000,16:00,6968.50,7065.50,6941.50,6983.50,13436,6786,0.00,42.60
02/03/2000,16:00,6983.50,7142.00,6962.50,7142.00,16812,7558,0.00,42.99
02/04/2000,16:00,7137.50,7209.50,7110.50,7156.00,11605,7807,0.00,45.61
02/07/2000,16:00,7156.00,7208.00,7125.00,7206.50,10266,8322,0.00,41.96
02/08/2000,16:00,7194.00,7348.00,7191.50,7344.50,15069,9712,80.20,49.95
02/09/2000,16:00,7349.50,7393.50,7226.00,7226.00,19889,9671,50.97,52.56
02/10/2000,16:00,7220.50,7365.50,7217.50,7361.50,18454,9833,67.66,52.47
02/11/2000,16:00,7358.50,7389.50,7199.50,7242.00,18652,9685,47.54,52.06
02/14/2000,16:00,7233.00,7277.50,7183.50,7253.00,18078,9456,50.24,52.54
02/15/2000,16:00,7249.00,7299.50,7110.50,7286.00,23417,9675,60.03,52.13
02/16/2000,16:00,7284.00,7336.50,7244.50,7270.00,19888,9159,52.22,52.31
02/17/2000,16:00,7275.50,7395.50,7260.50,7356.00,18302,9579,72.22,52.06
02/18/2000,16:00,7359.50,7390.50,7212.00,7217.50,18802,9595,40.62,51.17
02/22/2000,16:00,7204.00,7267.50,7115.00,7217.00,22638,9108,40.55,52.28
02/23/2000,16:00,7226.50,7467.50,7211.50,7437.00,23907,10714,72.95,54.58
02/24/2000,16:00,7439.00,7542.00,7356.00,7542.00,28263,11191,76.83,57.07
02/25/2000,16:00,7533.00,7565.50,7379.50,7443.50,22378,10294,54.78,58.13
02/28/2000,16:00,7432.00,7492.50,7278.50,7434.50,27318,9747,52.74,58.76
02/29/2000,16:00,7414.00,7550.50,7408.00,7550.50,20360,9493,71.37,52.25
03/01/2000,16:00,7547.50,7602.50,7522.50,7575.00,18822,10414,73.55,48.92
03/02/2000,16:00,7574.50,7587.50,7453.50,7474.50,22454,10798,44.60,47.74
03/03/2000,16:00,7479.50,7707.50,7459.50,7704.00,21378,10599,72.39,44.68
03/06/2000,16:00,7696.50,7790.50,7680.50,7747.00,21491,11543,74.65,48.90
03/07/2000,16:00,7733.00,7820.00,7610.50,7642.00,28103,11531,51.00,49.00
03/08/2000,16:00,7649.50,7709.50,7533.00,7707.00,628,432,62.91,48.80
03/09/2000,16:00,7697.00,7865.50,7625.00,7856.50,15672,2332,75.53,50.14
03/10/2000,16:00,7852.50,7917.50,7801.50,7852.50,22008,3852,74.03,52.69
03/13/2000,16:00,7841.50,7850.50,7665.50,7708.00,24358,5175,42.28,52.72
03/14/2000,16:00,7696.00,7789.50,7467.50,7485.50,28686,5758,31.09,50.50
03/15/2000,16:00,7489.50,7542.50,7331.00,7348.00,33240,6541,27.80,50.11
03/16/2000,16:00,7357.50,7618.00,7293.50,7600.00,31934,7104,60.13,48.00
03/17/2000,16:00,7601.00,7712.50,7558.50,7702.00,21752,7358,67.00,47.84
03/20/2000,16:00,7693.00,7714.50,7501.00,7538.00,25413,7812,45.41,47.53
03/21/2000,16:00,7533.50,7715.00,7400.50,7703.50,27244,8350,63.01,41.89
03/22/2000,16:00,7695.50,7894.50,7677.50,7805.50,29121,6679,69.80,38.88
03/23/2000,16:00,7810.50,7960.50,7761.50,7918.00,27159,7066,75.01,40.95
03/24/2000,16:00,7915.50,8069.50,7851.50,7989.50,25878,7547,77.43,45.63
03/27/2000,16:00,7972.50,8035.50,7936.50,7947.50,22162,7827,62.79,45.96
03/28/2000,16:00,7946.50,8023.00,7835.50,7848.00,25160,7584,42.42,45.58
03/29/2000,16:00,7845.50,7863.50,7641.50,7654.00,30696,7864,30.99,44.40
03/30/2000,16:00,7656.50,7743.50,7397.00,7513.00,32339,8653,27.55,42.72
03/31/2000,16:00,7513.50,7671.50,7431.00,7643.00,30146,9447,51.81,42.77
04/03/2000,16:00,7602.50,7602.50,7274.00,7320.50,35070,11502,31.19,41.66
04/04/2000,16:00,7313.50,7397.50,6880.50,7251.50,44126,11975,28.90,52.90
04/05/2000,16:00,7265.50,7399.00,7114.50,7245.50,32308,13209,28.63,52.16
04/06/2000,16:00,7240.50,7405.50,7205.00,7330.50,27739,13100,52.76,52.43
04/07/2000,16:00,7330.00,7529.00,7320.50,7522.50,23589,13166,69.44,51.81
04/10/2000,16:00,7526.00,7563.00,7195.50,7211.00,35883,13654,36.42,50.64
04/11/2000,16:00,7211.50,7286.00,7071.50,7140.50,39151,14149,32.68,51.33
04/12/2000,16:00,7140.00,7212.50,6838.50,6880.50,38550,15547,24.33,51.45
04/13/2000,16:00,6870.50,7069.50,6747.50,6770.50,38663,15073,22.30,53.84
04/14/2000,16:00,6778.50,6806.00,6333.50,6403.00,43966,18526,18.43,60.98
04/17/2000,16:00,6393.00,6775.50,6293.00,6763.00,41363,18015,50.23,60.18
04/18/2000,16:00,6769.50,6937.50,6674.50,6935.50,33643,17097,59.04,60.47
04/19/2000,16:00,6920.00,6966.50,6790.00,6808.00,29702,17648,45.59,60.71
04/20/2000,16:00,6815.50,6855.50,6670.50,6720.50,22582,18024,37.33,60.79
04/24/2000,16:00,6674.00,6674.00,6408.50,6602.50,30710,18440,29.05,59.60
04/25/2000,16:00,6602.00,6840.50,6584.50,6830.50,29209,18870,57.47,58.48
04/26/2000,16:00,6835.50,6919.50,6705.50,6713.00,32073,16003,42.70,55.10
04/27/2000,16:00,6713.00,6919.00,6603.00,6870.50,35244,17244,58.84,51.93
04/28/2000,16:00,6880.00,7012.00,6866.00,6995.50,20768,17513,66.09,51.34
05/01/2000,16:00,6993.00,7095.50,6991.50,7052.50,31114,18290,68.76,50.41
